,FIPS,Crop fraction of farmland,Cropland Value per Acre,Normalized Cropland - total
0,0,0.48333790014498024,0.731304810355509,1066.028927552024
1,1000,0.15331883910271654,1.4049026426697397,8.243796263188816
2,1001,0.0,0.3959479562681527,0.1110789669953538
3,1003,0.8036917434118726,0.9737567452152646,0.2702574427574033
4,1005,0.08428437399353059,1.2543120103980048,0.14933457476949805
5,1007,,0.0,0.022607136332214558
6,1009,0.04151793514889793,3.428779287471916,0.12258319021766416
7,1011,0.6744288655750563,1.2389455782312926,0.08636823125039575
8,1013,0.0231107657738064,3.773256735340729,0.06620305383746322
9,1015,0.14830367356395072,2.660797534193797,0.06807845730393652
10,1017,0.0,0.45441227764213465,0.03759987229635639
11,1019,0.282895285078582,1.0287178959640642,0.1529857099098209
12,1021,0.5635290259101344,0.5288628321654062,0.0756089235308524
13,1023,0.04107142857142857,1.2093726379440666,0.024291065039173804
14,1025,,0.0,0.027724496000871086
15,1027,0.01805717619603267,2.4117067679752355,0.03728249632510706
16,1029,0.024405253283302064,5.450343586387435,0.03206284192191562
17,1031,0.06574415587719075,2.43547807555539,0.21169501870712434
18,1033,0.22654316623064413,0.7068201505963884,0.1574499570426007
19,1035,0.24185811663721282,0.3491098184382161,0.05951979784784926
20,1037,,0.0,0.02220320327789723
21,1039,0.12595785440613028,1.3355173866242336,0.16813319944672067
22,1041,0.011421988444055476,3.3424972388883916,0.08787117696548555
23,1043,0.02123329522608113,4.625111106046448,0.2301736444711865
24,1045,0.1042666456874623,1.4079790278213673,0.14207689450134192
25,1047,0.2712462172063073,0.5289897810570408,0.21791663692037566
26,1049,0.028928242992413727,4.520173256524395,0.24040836380849956
27,1051,0.6285924341665553,0.3446988895544395,0.1138514165954409
28,1053,0.8379276554045417,0.40234850432844776,0.15300931638702125
29,1055,0.05264749006152032,2.2346563080560715,0.0776521952796394
30,1057,0.15696866800432166,0.5385254758540438,0.06311322826612678
31,1059,0.012199234175839822,3.6947589911127108,0.0947380388888801
32,1061,0.14344350170000306,1.4514938644851503,0.23598083786247587
33,1063,0.04292852487508147,0.6336031274088757,0.09527574198066616
34,1065,0.0,1.6246207439038094,0.09336624026934788
35,1067,0.3566108712666313,0.49705723643756194,0.20901437207392756
36,1069,0.5433169873003898,0.4845338392981479,0.3013655338236598
37,1071,0.14213905889435136,0.8859555555555556,0.2950809650045409
38,1073,inf,0.0,0.03211792370204981
39,1075,,0.0,0.048700162464349425
40,1077,0.35075390294889475,0.415432515082364,0.28390460952112445
41,1079,0.1217593358707044,1.2496295019817336,0.3044186382082401
42,1081,,0.0,0.03646676139073895
43,1083,0.47111173894617886,0.4720529200730852,0.39334161488009745
44,1085,0.0,1.3692143618912194,0.11067503394103646
45,1087,0.6944196428571429,0.3858299362691623,0.09136755853305047
46,1089,0.7309539052496798,0.305301734668947,0.3220710372702896
47,1091,0.13155663234403392,0.45090809777413626,0.09603901807681124
48,1093,0.048208209348349164,2.3205035020483677,0.07939120576673284
49,1095,0.02841429111213737,3.873386021400462,0.16129518988434877
50,1097,0.9010496194678561,1.88365983467331,0.11581600008689336
51,1099,0.4842061512884456,0.41959322477274213,0.12032221429025158
52,1101,0.24849357820189652,0.6968166078388732,0.156796844506724
